id	abbreviation	name	code	stoichiometry	is_transport	equation	definition	reversibility	direction	abstract_reaction	pathways	aliases	ec_numbers	deltag	deltagerr	compound_ids	status	is_obsolete	linked_reaction	notes	is_copy_of	gapseq.status
rxn22981	RXN-12537.c	L-arginine,2-oxoglutarate:oxygen oxidoreductase (succinate-forming)	(1) cpd00007[0] + (1) cpd00024[0] + (1) cpd00051[0] <=> (1) cpd00011[0] + (1) cpd00036[0] + (1) cpd23915[0]	-1:cpd00007:0:0:"O2";-1:cpd00024:0:0:"2-Oxoglutarate";-1:cpd00051:0:0:"L-Arginine";1:cpd00011:0:0:"CO2";1:cpd00036:0:0:"Succinate";1:cpd23915:0:0:"L-hydroxyarginine"	0	(1) cpd00007[0] + (1) cpd00024[0] + (1) cpd00051[0] => (1) cpd00011[0] + (1) cpd00036[0] + (1) cpd23915[0]	(1) O2[0] + (1) 2-Oxoglutarate[0] + (1) L-Arginine[0] => (1) CO2[0] + (1) Succinate[0] + (1) L-hydroxyarginine[0]	>	>					-103.28	0.98	cpd00007;cpd00011;cpd00024;cpd00036;cpd00051;cpd23915	OK	0				not.assessed
rxn22982	RXN-12539.c	RXN-12539.c	(1) cpd00869[0] + (1) cpd17154[0] <=> (2) cpd00011[0] + (1) cpd00324[0] + (1) cpd03956[0]	-1:cpd00869:0:0:"4-methylthio 2-oxobutyrate";-1:cpd17154:0:0:"Hydrogen oxide";2:cpd00011:0:0:"CO2";1:cpd00324:0:0:"MTTL";1:cpd03956:0:0:"Ethylene"	0	(1) cpd00869[0] + (1) cpd17154[0] => (2) cpd00011[0] + (1) cpd00324[0] + (1) cpd03956[0]	(1) 4-methylthio 2-oxobutyrate[0] + (1) Hydrogen oxide[0] => (2) CO2[0] + (1) MTTL[0] + (1) Ethylene[0]	>	>					-70.81	1.79	cpd00011;cpd00324;cpd00869;cpd03956;cpd17154	CI:1	0				not.assessed
rxn22983	RXN-12540.c	Fenton reaction	(1) cpd00025[0] + (1) cpd10515[0] <=> (1) cpd00001[0] + (1) cpd10516[0] + (1) cpd17154[0]	-1:cpd00025:0:0:"H2O2";-1:cpd00067:0:0:"H+";-1:cpd10515:0:0:"Fe2+";1:cpd00001:0:0:"H2O";1:cpd10516:0:0:"fe3";1:cpd17154:0:0:"Hydrogen oxide"	0	(1) cpd00025[0] + (1) cpd00067[0] + (1) cpd10515[0] => (1) cpd00001[0] + (1) cpd10516[0] + (1) cpd17154[0]	(1) H2O2[0] + (1) H+[0] + (1) Fe2+[0] => (1) H2O[0] + (1) fe3[0] + (1) Hydrogen oxide[0]	>	>					2.64	1	cpd00001;cpd00025;cpd00067;cpd10515;cpd10516;cpd17154	OK	0				not.assessed
rxn22984	RXN-12541.c	RXN-12541.c	(2) cpd00007[0] + (2) cpd10515[0] <=> (2) cpd00532[0] + (2) cpd10516[0]	-2:cpd00007:0:0:"O2";-2:cpd10515:0:0:"Fe2+";2:cpd00532:0:0:"O2-";2:cpd10516:0:0:"fe3"	0	(2) cpd00007[0] + (2) cpd10515[0] <= (2) cpd00532[0] + (2) cpd10516[0]	(2) O2[0] + (2) Fe2+[0] <= (2) O2-[0] + (2) fe3[0]	<	<					41.46	2	cpd00007;cpd00532;cpd10515;cpd10516	OK	0				not.assessed
rxn22985	RXN-12543.c	N,N'-diacetylchitobiose deacetylase (nonreducing end)	(1) cpd00001[0] + (1) cpd01157[0] <=> (1) cpd00029[0] + (1) cpd23914[0]	-1:cpd00001:0:0:"H2O";-1:cpd01157:0:0:"Chitobiose";1:cpd00029:0:0:"Acetate";1:cpd23914:0:0:"2-acetamido-4-O-(2-amino-2-deoxy-beta-D-glucopyranosyl)-2-deoxy-D-glucose"	0	(1) cpd00001[0] + (1) cpd01157[0] <=> (1) cpd00029[0] + (1) cpd23914[0]	(1) H2O[0] + (1) Chitobiose[0] <=> (1) Acetate[0] + (1) 2-acetamido-4-O-(2-amino-2-deoxy-beta-D-glucopyranosyl)-2-deoxy-D-glucose[0]	=	=					-2	0.98	cpd00001;cpd00029;cpd01157;cpd23914	OK	0	rxn22986			not.assessed
rxn22986	RXN-12543.e	N,N'-diacetylchitobiose deacetylase (nonreducing end)	(1) cpd00001[0] + (1) cpd01157[0] <=> (1) cpd00029[0] + (1) cpd23914[0]	-1:cpd00001:0:0:"H2O";-1:cpd01157:0:0:"Chitobiose";1:cpd00029:0:0:"Acetate";1:cpd23914:0:0:"2-acetamido-4-O-(2-amino-2-deoxy-beta-D-glucopyranosyl)-2-deoxy-D-glucose"	0	(1) cpd00001[0] + (1) cpd01157[0] <=> (1) cpd00029[0] + (1) cpd23914[0]	(1) H2O[0] + (1) Chitobiose[0] <=> (1) Acetate[0] + (1) 2-acetamido-4-O-(2-amino-2-deoxy-beta-D-glucopyranosyl)-2-deoxy-D-glucose[0]	=	=					-2	0.98	cpd00001;cpd00029;cpd01157;cpd23914	OK	1	rxn22985		rxn22985	not.assessed
rxn22987	RXN-12544.c	2-acetamido-4-O-(2-amino-2-deoxy-beta-D-glucopyranosyl)-2-deoxy-D-glucose exo-beta-D-glucosaminidase	(1) cpd00001[0] + (1) cpd23914[0] <=> (1) cpd27103[0] + (1) cpd27608[0]	-1:cpd00001:0:0:"H2O";-1:cpd23914:0:0:"2-acetamido-4-O-(2-amino-2-deoxy-beta-D-glucopyranosyl)-2-deoxy-D-glucose";1:cpd27103:0:0:"GLUCOSAMINE";1:cpd27608:0:0:"N-acetyl-D-glucosamine"	0	(1) cpd00001[0] + (1) cpd23914[0] <= (1) cpd27103[0] + (1) cpd27608[0]	(1) H2O[0] + (1) 2-acetamido-4-O-(2-amino-2-deoxy-beta-D-glucopyranosyl)-2-deoxy-D-glucose[0] <= (1) GLUCOSAMINE[0] + (1) N-acetyl-D-glucosamine[0]	<	<					1e+07	1e+07	cpd00001;cpd23914;cpd27103;cpd27608	CPDFORMERROR	0				not.assessed
rxn22988	RXN-12545.c	ADP-dependent N-acetyl-D-glucosamine kinase	(1) cpd00008[0] + (1) cpd27103[0] <=> (1) cpd00018[0] + (1) cpd00288[0]	-1:cpd00008:0:0:"ADP";-1:cpd27103:0:0:"GLUCOSAMINE";1:cpd00018:0:0:"AMP";2:cpd00067:0:0:"H+";1:cpd00288:0:0:"D-Glucosamine phosphate"	0	(1) cpd00008[0] + (1) cpd27103[0] => (1) cpd00018[0] + (2) cpd00067[0] + (1) cpd00288[0]	(1) ADP[0] + (1) GLUCOSAMINE[0] => (1) AMP[0] + (2) H+[0] + (1) D-Glucosamine phosphate[0]	>	>					-23.56	0.24	cpd00008;cpd00018;cpd00067;cpd00288;cpd27103	OK	0				not.assessed
rxn22989	RXN-12546.c	RXN-12546.c	(1) cpd22384[0] + (1) cpd28093[0] <=> (1) cpd00001[0] + (1) cpd27296[0] + (1) cpd28104[0]	-1:cpd22384:0:0:"Aporhodopsins";-1:cpd28093:0:0:"Retinal-IRBPs";1:cpd00001:0:0:"H2O";1:cpd27296:0:0:"IRBPs";1:cpd28104:0:0:"Rhodopsins"	0	(1) cpd22384[0] + (1) cpd28093[0] => (1) cpd00001[0] + (1) cpd27296[0] + (1) cpd28104[0]	(1) Aporhodopsins[0] + (1) Retinal-IRBPs[0] => (1) H2O[0] + (1) IRBPs[0] + (1) Rhodopsins[0]	>	>					1e+07	1e+07	cpd00001;cpd22384;cpd27296;cpd28093;cpd28104	CPDFORMERROR	0				not.assessed
rxn22990	RXN-12548.c	RXN-12548.c	(1) cpd00365[0] + (1) cpd26684[0] <=> (1) cpd26664[0]	-1:cpd00365:0:0:"Retinol";-1:cpd26684:0:0:"Cellular-Retinol-Binding-Proteins";1:cpd26664:0:0:"CRPB-all-trans-Retinol"	0	(1) cpd00365[0] + (1) cpd26684[0] => (1) cpd26664[0]	(1) Retinol[0] + (1) Cellular-Retinol-Binding-Proteins[0] => (1) CRPB-all-trans-Retinol[0]	>	>					1e+07	1e+07	cpd00365;cpd26664;cpd26684	CPDFORMERROR	0				not.assessed
