name,altname,exid,id,guild,metacyc,exid_seed,id_seed
Indole,,EX_indole(e),indole[e],,,EX_cpd00359_e0,cpd00359[e0]
Isobutyrate,,EX_isobut(e),isobut[e],,,EX_cpd01711_e0,cpd01711[e0]
Isovalerate,,EX_isoval(e),isoval[e],,,NA,NA
L-Lactate,,EX_lac_L(e),lac_L[e],,,EX_cpd00159_e0,cpd00159[e0]
Lyxose,,EX_lyx_L(e),lyx_L[e],,,EX_cpd01067_e0,cpd01067[e0]
Matohextrin,,EX_malthx(e),malthx[e],,,EX_cpd01329_e0,cpd01329[e0]
Methane,,EX_ch4(e),ch4[e],,,EX_cpd01024_e0,cpd01024[e0]
N-Acetylneuraminate,acetylneuraminate,EX_acnam(e),acnam[e],,,EX_cpd00232_e0,cpd00232[e0]
Phenylacetate,,EX_4hphac(e),4hphac[e],,,EX_cpd00489_e0,cpd00489[e0]
Ribose,,EX_rib_D(e),rib_D[e],,,EX_cpd00105_e0,cpd00105[e0]
Salicin,,EX_salcn(e),salcn[e],,,EX_cpd01030_e0,cpd01030[e0]
Xylose,,EX_xyl_D(e),xyl_D[e],,,EX_cpd00154_e0,cpd00154[e0]
Chloride,,EX_cl(e),cl[e],Minerals,,EX_cpd00099_e0,cpd00099[e0]
Cobalt,,EX_cobalt2(e),cobalt2[e],Minerals,,EX_cpd00149_e0,cpd00149[e0]
Potassium,,EX_k(e),k[e],Minerals,,EX_cpd00205_e0,cpd00205[e0]
Phosphate,,EX_pi(e),pi[e],Minerals,,EX_cpd00009_e0,cpd00009[e0]
Magnesium,,EX_mg2(e),mg2[e],Minerals,,EX_cpd00254_e0,cpd00254[e0]
Calcium,,EX_ca2(e),ca2[e],Minerals,,EX_cpd00063_e0,cpd00063[e0]
Iron,,EX_fe2(e),fe2[e],Minerals,,EX_cpd10515_e0,cpd10515[e0]
Zinc,,EX_zn2(e),zn2[e],Minerals,,EX_cpd00034_e0,cpd00034[e0]
Manganese,,EX_mn2(e),mn2[e],Minerals,,EX_cpd00030_e0,cpd00030[e0]
Copper,,EX_cu2(e),cu2[e],Minerals,,EX_cpd00058_e0,cpd00058[e0]
Melitose,raffinose,EX_raffin(e),raffin[e],Carbohydrates,,EX_cpd00382_e0,cpd00382[e0]
Benzoate,,EX_bz(e),bz[e],Aromates,,EX_cpd00153_e0,cpd00153[e0]
Sulfate,,EX_so4(e),so4[e],Minerals,,EX_cpd00048_e0,cpd00048[e0]
Sulfite,,EX_so3(e),so3[e],Minerals,,EX_cpd00081_e0,cpd00081[e0]
Nitrate,,EX_no3(e),no3[e],Minerals,,EX_cpd00209_e0,cpd00209[e0]
Nitrite,,EX_no2(e),no2[e],Minerals,,EX_cpd00075_e0,cpd00075[e0]
