MNX_ID	seed	other
MNXR100658	rxn00060	OHMETHYLBILANESYN-RXN
MNXR100664	rxn02484	OHMETPYRKIN-RXN
MNXR100669	rxn01993	RXN-8527
MNXR100671	rxn01896	3.7.1.9-RXN
MNXR100674	rxn03863	HADTHAUERA-RXN
MNXR100676	rxn08722	TRANS-RXN-242
MNXR100682	rxn01280	RXN0-5289
MNXR100691	rxn02181	RXN-6383
MNXR100692	rxn01015	RXN0-305
MNXR100694	rxn02503	H2PTERIDINEPYROPHOSPHOKIN-RXN
MNXR100695	rxn03038	1.13.11.16-RXN
MNXR100696	rxn08725	TRANS-RXN-61
MNXR100696	rxn10134	TRANS-RXN-61
MNXR100700	rxn01014	HYDROXYPYRUVATE-DECARBOXYLASE-RXN
MNXR100736	rxn01303	HOMOSERINE-O-ACETYLTRANSFERASE-RXN
MNXR100737	rxn01300	HOMOSERKIN-RXN
MNXR100740	rxn00015	2.5.1.44-RXN
MNXR100741	rxn01304	HOMSUCTRAN-RXN
MNXR100747	rxn01297	RXN-7682
MNXR100749	rxn08737	TRANS-RXN0-562
MNXR100749	rxn08737	TRANS-RXN0-579
MNXR100749	rxn08738	TRANS-RXN0-562
MNXR100749	rxn08738	TRANS-RXN0-579
MNXR100749	rxn10143	TRANS-RXN0-562
MNXR100749	rxn10143	TRANS-RXN0-579
MNXR100752	rxn00836	HYPOXANPRIBOSYLTRAN-RXN
MNXR100757	rxn05759	HYDROG-RXN
MNXR100762	rxn00201	RXN-7594
MNXR100763	rxn01808	RXN-14046
MNXR100765	rxn08730	RXN-14452
MNXR100765	rxn11009	RXN-14452
MNXR100773	rxn00888	2.4.1.123-RXN
MNXR100777	rxn00877	ISOBUTYRYL-COA-MUTASE-RXN
MNXR100783	rxn00832	IMPCYCLOHYDROLASE-RXN
MNXR100784	rxn01258	ISOCHORSYN-RXN
MNXR100785	rxn02177	ISOCHORMAT-RXN
MNXR100796	rxn00830	IPPISOM-RXN
MNXR100801	rxn03953	RXN-12107
MNXR100802	rxn03954	L-IDONATE-2-DEHYDROGENASE-RXN
MNXR100803	rxn08742	TRANS-RXN-181A
MNXR100803	rxn10167	TRANS-RXN-181A
MNXR100807	rxn00706	RXN-14003
MNXR100808	rxn00001	INORGPYROPHOSPHAT-RXN
MNXR100808	rxn11226	INORGPYROPHOSPHAT-RXN
MNXR100811	rxn03135	GLUTAMIDOTRANS-RXN
MNXR100813	rxn02473	IMIDPHOSDEHYD-RXN
MNXR100814	rxn02507	IGPSYN-RXN
MNXR100821	rxn05179	ABC-15-RXN
MNXR100821	rxn08745	ABC-15-RXN
MNXR100823	rxn05241	TRANS-RXN-126
MNXR100825	rxn13321	TRANS-RXN-281
MNXR100826	rxn02789	3-ISOPROPYLMALISOM-RXN
MNXR100827	rxn02811	RXN-8991
MNXR100830	rxn00834	IMP-DEHYDROG-RXN
MNXR100831	rxn08749	TRANS-RXN0-566
MNXR100835	rxn08750	TRANS-RXN-142
MNXR100835	rxn10176	TRANS-RXN-142
MNXR100836	rxn08751	TRANS-RXN0-563
MNXR100837	rxn01450	4.1.1.74-RXN
MNXR100839	rxn00880	MYO-INOSITOL-OXYGENASE-RXN
MNXR100842	rxn00879	MYO-INOSITOL-2-DEHYDROGENASE-RXN
MNXR100844	rxn01299	INOSINE-NUCLEOSIDASE-RXN
MNXR100845	rxn00835	INOSINEKIN-RXN
MNXR100850	rxn05316	TRANS-RXN-108G
MNXR100850	rxn08753	TRANS-RXN-108G
MNXR100878	rxn03062	3-ISOPROPYLMALDEHYDROG-RXN
MNXR100879	rxn00902	2-ISOPROPYLMALATESYN-RXN
MNXR100883	rxn01732	RXN-8988
