name	metacyc	vmh	seed	group
Hydrogen sulfide		EX_h2s(e)	EX_cpd00239_e0	
Indole		EX_indole(e)	EX_cpd00359_e0	
Isobutyrate		EX_isobut(e)	EX_cpd01711_e0	
Isovalerate		EX_isoval(e)		
L-Lactate;L-Lactic acid;lactate;lactic acid;(S)-Lactate;(S)-Lactic acid		EX_lac_L(e)	EX_cpd00159_e0	
Lyxose		EX_lyx_L(e)	EX_cpd01067_e0	
Matohextrin		EX_malthx(e)	EX_cpd01329_e0	
Methane		EX_ch4(e)	EX_cpd01024_e0	
N-Acetylneuraminate;sialic acid		EX_acnam(e)	EX_cpd00232_e0	
Phenylacetate		EX_4hphac(e)	EX_cpd00489_e0	
Ribose		EX_rib_D(e)	EX_cpd00105_e0	
Salicin		EX_salcn(e)	EX_cpd01030_e0	
Xylose		EX_xyl_D(e)	EX_cpd00154_e0	
Chloride		EX_cl(e)	EX_cpd00099_e0	Minerals
Cobalt		EX_cobalt2(e)	EX_cpd00149_e0	Minerals
Potassium		EX_k(e)	EX_cpd00205_e0	Minerals
Phosphate		EX_pi(e)	EX_cpd00009_e0	Minerals
Magnesium		EX_mg2(e)	EX_cpd00254_e0	Minerals
Calcium		EX_ca2(e)	EX_cpd00063_e0	Minerals
Iron		EX_fe2(e)	EX_cpd10515_e0	Minerals
Zinc		EX_zn2(e)	EX_cpd00034_e0	Minerals
Manganese		EX_mn2(e)	EX_cpd00030_e0	Minerals
Copper		EX_cu2(e)	EX_cpd00058_e0	Minerals
Melitose;raffinose		EX_raffin(e)	EX_cpd00382_e0	Carbohydrates
Benzoate		EX_bz(e)	EX_cpd00153_e0	Aromates
Sulfate		EX_so4(e)	EX_cpd00048_e0	Minerals
Sulfite		EX_so3(e)	EX_cpd00081_e0	Minerals
Nitrate		EX_no3(e)	EX_cpd00209_e0	Minerals
Nitrite		EX_no2(e)	EX_cpd00075_e0	Minerals
NAD		EX_nad(e)	EX_cpd00003_e0	
NADP		EX_nadp(e)	EX_cpd00006_e0	
CoA;Coenzyme A		EX_coa(e)	EX_cpd00010_e0	
Pyrophosphate		EX_ppi(e)	EX_cpd00012_e0	
Ammonia		EX_nh4(e)	EX_cpd00013_e0	
FAD		EX_fad(e)	EX_cpd00015_e0	
Pyridoxal phosphate		EX_pydx5p(e)	EX_cpd00016_e0	
S-Adenosyl-L-methionine		EX_amet(e)	EX_cpd00017_e0	
2-Oxoglutarate;α-ketoglutaric acid		EX_akg(e)	EX_cpd00024_e0	
Hydrogen peroxide		EX_h2o2(e)	EX_cpd00025_e0	
Heme		EX_pheme(e)	EX_cpd00028_e0	
GTP		EX_gtp(e)	EX_cpd00038_e0	
GSH		EX_gthrd(e)	EX_cpd00042_e0	
CTP		EX_ctp(e)	EX_cpd00052_e0	
Formaldehyde		EX_fald(e)	EX_cpd00055_e0	
TPP		EX_thmpp(e)	EX_cpd00056_e0	
L-Ascorbate;Ascorbate		EX_ascb(e)	EX_cpd00059_e0	
