rxn,genes,pwy,ncbi,uniprot,location,go,org
|CHOLINE-OXIDASEII-RXN|,CHOA,|PWY-7494|,DS499600,B0YA55,|CCO-CYTOSOL|,|GO:0005829|,|TAX-451804|
|RXN-19191|,lvaC,|PWY-7948|,,Q88J56,,,|TAX-160488|
|RXN-15576|,dhpJ,|PWY-7512|,KC294623,L7VFM4,,,|TAX-657395|
|RXN-9487|,aflW,|PWY-5955|,AY371490,Q6UEF3,|CCO-CYTOSOL|,|GO:0005829|,|TAX-5067|
|RXN-12682|,CYP88D6,|PWY-7066|,AB433179,B5BSX1,,,|TAX-74613|
|RXN-21519|,iboA,|PWY-8158|,,A0A0C2W6G2,,,|TAX-41956|
|DIHYDROOROTATE-DEHYDROGENASE-RXN|,pyrD,|PWY-5686|,,P0A7E1,|CCO-CYTOSOL|;|CCO-PM-BAC-NEG|,|GO:0009220|;|GO:0016627|;|GO:0005737|;|GO:0016491|;|GO:0003824|;|GO:0006222|;|GO:0044205|;|GO:0055114|;|GO:0006221|;|GO:0005829|;|GO:0010181|;|GO:0005886|;|GO:0016020|;|GO:0006207|;|GO:0004152|,|TAX-511145|
|DIHYDROOROTATE-DEHYDROGENASE-RXN|,PYRD,|PWY-5686|,X62909,P32746,,,|ORG-5993|
|RXN-10901|,ligN,|PWY-6341|,AB491222,C0SUK1,,,|TAX-502559|
|RXN-10901|,ligL,|PWY-6341|,AB491221,C0SUJ9,,,|TAX-502559|
|RXN-12190|,apu,|PWY-6737|,DQ192527,Q3HUR3,,,|TAX-186497|
|RXN-20396|,LCB1,|SPHINGOLIPID-SYN-PWY|,,P25045,,,|TAX-4932|
|RXN-20396|,LCB2,|SPHINGOLIPID-SYN-PWY|,,P40970,,,|TAX-4932|
|ACETYLCHOLINESTERASE-RXN|,ache,,X03439,P04058,,,|TAX-7787|
|RXN-13191|,CHL27,|CHLOROPHYLL-SYN|,,Q9M591,|CCO-THY-MEM|;|CCO-CHLOR-IMEM|,|GO:0042651|;|GO:0009706|,|ORG-5993|
|RXN-13191|,acsF,|CHLOROPHYLL-SYN|;|PWY-7159|,AY234384,P0DJN9,,,|TAX-28068|
|RXN-13191|,acsF2,|CHLOROPHYLL-SYN|;|PWY-7159|,,P74134,,,|TAX-1148|
|RXN-13191|,cycI,|CHLOROPHYLL-SYN|;|PWY-7159|,,P72584,,,|TAX-1148|
|RXN-13191|,slr1780,|CHLOROPHYLL-SYN|;|PWY-7159|,,P72777,,,|TAX-1148|
|RXN-10065|,MJ0663,,,Q58077,,,|TAX-2190|
|RXN0-5264|,torC,|PWY0-1355|;|PWY0-1347|;|PWY0-1578|;|PWY-8146|;|PWY-8145|;|PWY-8147|,,P33226,|CCO-CW-BAC-NEG|;|CCO-PERI-BAC|;|CCO-PM-BAC-NEG|,|GO:0009276|;|GO:0005506|;|GO:0055114|;|GO:0046872|;|GO:0030288|;|GO:0009968|;|GO:0019645|;|GO:0005887|;|GO:0016020|;|GO:0005515|;|GO:0020037|;|GO:0005886|;|GO:0009060|;|GO:0016021|;|GO:0009055|;|GO:0009061|,|TAX-511145|
