rxn,genes,pwy,ncbi,uniprot,location,go,org
|RXN-14527|,taw3-2,|PWY-7286|;|PWY-7285|,,Q9V1Y5,,,|TAX-29292|
|RXN-5184|,lysJ,|PWY-3081|,,Q93R93,,,|TAX-274|
|RXN-5184|,lysJ,|PWY-3081|;|PWY-7400|,,Q4JAP8,,,|TAX-2285|
|RXN-12976|,SCO7700,|PWY-7087|,,Q9F1Y6,,,|TAX-100226|
|RXN-12976|,HQ630883,|PWY-7087|,HQ630883,E9NH28,,,|TAX-941940|
|RXN-8457|,cfiB,|PWY-5392|,AB246889,,,,|TAX-940|
|RXN-8457|,cfiA,|PWY-5392|,AB246889,,,,|TAX-940|
|RXN-11612|,acsA,|PWY-6574|,CP000075,Q93AU0,,,|TAX-205918|
|RXN-14064|,cpdB,,,P08331,|CCO-PERI-BAC|,|GO:0016311|;|GO:0016788|;|GO:0016787|;|GO:0009117|;|GO:0008152|;|GO:0003824|;|GO:0006974|;|GO:0046872|;|GO:0000166|;|GO:0030288|;|GO:0042597|;|GO:0009166|;|GO:0008254|;|GO:0008663|,|TAX-511145|
|P-PANTOCYSDECARB-RXN|,AtCoaC,|PWY-7851|,,,,,|ORG-5993|
|P-PANTOCYSDECARB-RXN|,SIS2,|PWY-7851|,Z28297,P36024,,,|TAX-4932|
|P-PANTOCYSDECARB-RXN|,VHS3,|PWY-7851|,Z74961,Q08438,,,|TAX-4932|
|P-PANTOCYSDECARB-RXN|,CAB3,|PWY-7851|,Z28088,P36076,,,|TAX-4932|
|P-PANTOCYSDECARB-RXN|,PPCDC,|PWY-7851|,AF182419,Q96CD2,,,|TAX-9606|
|P-PANTOCYSDECARB-RXN|,dfp,|COA-PWY|,,P0ABQ0,|CCO-CYTOSOL|,|GO:0071513|;|GO:0005515|;|GO:0016874|;|GO:0016831|;|GO:0016829|;|GO:0008152|;|GO:0003824|;|GO:0015941|;|GO:0046872|;|GO:0042802|;|GO:0005829|;|GO:0010181|;|GO:0004633|;|GO:0004632|;|GO:0015937|,|TAX-511145|
|RXN-19307|,cobS,|PWY-7968|,,,,,|TAX-894|
|RXN66-338|,CYP11A1,|PWY66-377|,D00169,P05108,|CCO-MEMBRANE|;|CCO-MIT|,|GO:0016020|;|GO:0008386|;|GO:0006702|;|GO:0006700|;|GO:0006694|;|GO:0005739|;|GO:0004497|,|TAX-9606|
|RXN-18314|,TAS1,,,G4N137,,,|TAX-318829|
|KDO-8PSYNTH-RXN|,kdsA1,|PWY-1269|,NM_202447,Q9AV97,,,|ORG-5993|
|KDO-8PSYNTH-RXN|,kdsA,|PWY-1269|,,P0A715,|CCO-CYTOSOL|,|GO:0016740|;|GO:0009103|;|GO:0009058|;|GO:0005737|;|GO:0003824|;|GO:0032991|;|GO:0042802|;|GO:0005829|;|GO:0019294|;|GO:0008676|,|TAX-511145|
|RXN-7892|,CCD1,|PWY-6806|,NM_116217,O65572,,,|ORG-5993|
|RXN-9866|,tfdBII,|PWY-6086|;|PWY-6085|,U16782,Q46M62,,,|TAX-264198|
|RXN-9866|,tfdBI,|PWY-6086|;|PWY-6085|,M35097,P27138,,,|TAX-264198|
|RXN0-7114|,trmO,,,P28634,|CCO-CYTOSOL|,|GO:0016426|;|GO:0003723|;|GO:0000049|;|GO:0032259|;|GO:0016740|;|GO:0008168|;|GO:0008033|;|GO:0089715|;|GO:0030488|;|GO:0005829|,|TAX-511145|
|ATPPHOSPHORIBOSYLTRANS-RXN|,hisG,|HISTSYN-PWY|,,,,,|TAX-2336|
|ATPPHOSPHORIBOSYLTRANS-RXN|,AtATP-PRT1,|HISTSYN-PWY|,AB025249,Q9S762,|CCO-CHLOROPLAST|,|GO:0009507|,|ORG-5993|
|ATPPHOSPHORIBOSYLTRANS-RXN|,AtATP-PRT2,|HISTSYN-PWY|,AB025250,Q8GSJ1,|CCO-CHLOROPLAST|,|GO:0009507|,|ORG-5993|
|ATPPHOSPHORIBOSYLTRANS-RXN|,hisG,|HISTSYN-PWY|,,P60757,|CCO-CYTOSOL|,|GO:0016757|;|GO:0016740|;|GO:0008652|;|GO:0000287|;|GO:0005524|;|GO:0000166|;|GO:0046872|;|GO:0005737|;|GO:0042803|;|GO:0005829|;|GO:0003879|;|GO:0000105|,|TAX-511145|
|RXN-13088|,pao,|PWY-6993|,,,,,|TAX-879273|
|RXN-13088|,nicA1,|PWY-6993|,,B1N1A3,,,|TAX-1042876|
|RXN-15385|,CYP51H10,|PWY-7473|,DQ680852,A1BQV1,,,|TAX-38783|
|RXN-18413|,bciD,|PWY-7760|,AB762294,N0DKX5,,,|TAX-274537|
|RXN-20767|,nfeF,,,Q46871,|CCO-CYTOSOL|,|GO:0033212|;|GO:0015891|;|GO:0010106|;|GO:0016491|;|GO:0055114|;|GO:0005737|;|GO:0033214|;|GO:0005829|;|GO:0052851|;|GO:0071949|;|GO:0071289|;|GO:0050660|,|TAX-511145|
|RXN-20767|,FRE1,,U14913,P32791,|CCO-PM-FUNGI|,|GO:0055114|;|GO:0055072|;|GO:0052851|;|GO:0046872|;|GO:0016491|;|GO:0016021|;|GO:0016020|;|GO:0015677|;|GO:0006879|;|GO:0006826|;|GO:0006825|;|GO:0006811|;|GO:0005886|;|GO:0000293|,|TAX-559292|
|RXN-20767|,FRE2,,Z28220,P36033,|CCO-PM-FUNGI|,|GO:0000184|;|GO:0055114|;|GO:0055072|;|GO:0052851|;|GO:0046872|;|GO:0016491|;|GO:0016021|;|GO:0016020|;|GO:0015677|;|GO:0006879|;|GO:0006826|;|GO:0006825|;|GO:0006811|;|GO:0005886|;|GO:0000293|,|TAX-559292|
|CARNITINE-O-ACETYLTRANSFERASE-RXN|,Crat,,,Q704S8,|CCO-PEROXISOME|;|CCO-MIT|,|GO:0005777|;|GO:0005739|,|TAX-10116|
|CARNITINE-O-ACETYLTRANSFERASE-RXN|,CRAT,,AL158151,P43155,|CCO-ER|;|CCO-MIT|;|CCO-PEROXISOME|,|GO:0005783|;|GO:0005739|;|GO:0005777|;|GO:0015980|;|GO:0016746|;|GO:0006637|,|TAX-9606|
|2.1.1.5-RXN|,gbt,|PWY-3661|,,Q9HZC6,,,|TAX-287|
|2.1.1.5-RXN|,Bhmt,|ADENOSYLHOMOCYSCAT-PWY|;|PWY-3661|,,O09171,,,|TAX-10116|
|2.1.1.5-RXN|,BHMT,|ADENOSYLHOMOCYSCAT-PWY|;|PWY-3661-1|,AF118371,Q93088,,|GO:0016740|;|GO:0008168|;|GO:0008898|,|TAX-9606|
|RXN-17978|,oxyT,|PWY-7812|,,L8EUP9,,,|TAX-1265868|
|RXN-17978|,ctcO,,D38214,Q53658,,,|TAX-1894|
|RXN-2205|,BCAT3,|PWYQT-4450|;|PWY-1186|,,Q9M401,,,|ORG-5993|
|RXN-14899|,NTE1,|PWY-7367|,2501686,Q04958,|CCO-ER-MEM|,|GO:0005789|,|TAX-4932|
|RXN-15004|,lysK,|PWY-3081|;|PWY-7400|,,Q4JAP7,,,|TAX-2285|
|RXN-21327|,exoU,|PWY-8133|,,P33700,|CCO-CYTOSOL|,|GO:0045226|;|GO:0016757|;|GO:0016740|;|GO:0005737|;|GO:0000271|,|TAX-266834|
|RXN-21437|,hss,|PWY-5907|;|PWY-8149|,L77975,O32323,,,|TAX-1079|
|RXN-1083|,hgdB,|PWY-8190|;|P162-PWY|,,P11570,,,|TAX-905|
|RXN-1083|,hgdA,|PWY-8190|;|P162-PWY|,,P11569,,,|TAX-905|
|RXN-10722|,AADAT,|PWY-6309|;|LYSINE-DEG1-PWY|;|PWY66-425|,AF097994,Q8N5Z0,,|GO:0016740|;|GO:0008483|,|TAX-9606|
|RXN-10722|,CCBL2,|PWY-6309|;|PWY-4061|,AF091090,Q6YP21,,|GO:0003676|;|GO:0008483|;|GO:0009058|;|GO:0016847|,|TAX-9606|
|RXN-12115|,LCF,|PWY-7912|,L04648,O77206,,,|TAX-160621|
|RXN-20336|,ELOVL4,|PWY-8041|,AF279654,Q9GZR5,|CCO-ER|;|CCO-MEMBRANE|,|GO:0005575|;|GO:0005575|;|GO:0005783|;|GO:0016021|;|GO:0007601|;|GO:0008020|;|GO:0006633|,|TAX-9606|
|RXN-12025|,TFP,|PWY-6684|,DQ417116,A1XLE2,,,|TAX-33125|
|RXN-12025|,NSP1,|PWY-5267|;|PWYQT-4476|,,,,,|ORG-5993|
|RXN-12025|,NSP2,|PWY-5267|,,,,,|ORG-5993|
|RXN-12025|,NSP3,|PWY-5267|;|PWYQT-4476|,,,,,|ORG-5993|
|RXN-12025|,NSP4,|PWY-5267|;|PWYQT-4476|,,,,,|ORG-5993|
|RXN-12025|,NSP5,|PWY-5267|;|PWYQT-4476|,,,,,|ORG-5993|
|RIBULPEPIM-RXN|,ulaF,|PWY0-301|,,P39306,|CCO-CYTOSOL|,|GO:0008270|;|GO:0005975|;|GO:0019323|;|GO:0016832|;|GO:0016853|;|GO:0019854|;|GO:0046872|;|GO:0005829|;|GO:0019852|;|GO:0008742|,|TAX-511145|
|RIBULPEPIM-RXN|,sgbE,|LYXMET-PWY|;|PWY-6961|,,P37680,|CCO-CYTOSOL|,|GO:0016832|;|GO:0016853|;|GO:0005975|;|GO:0019572|;|GO:0008270|;|GO:0046872|;|GO:0005829|;|GO:0019324|;|GO:0019323|;|GO:0008742|,|TAX-511145|
|RIBULPEPIM-RXN|,araD,|LYXMET-PWY|;|ARABCAT-PWY|,,P08203,|CCO-CYTOSOL|,|GO:0019323|;|GO:0016832|;|GO:0019572|;|GO:0019568|;|GO:0016853|;|GO:0005975|;|GO:0008270|;|GO:0046872|;|GO:0042802|;|GO:0032991|;|GO:0051289|;|GO:0005829|;|GO:0019324|;|GO:0019569|;|GO:0008742|,|TAX-511145|
|RXN-1981|,irp9,|PWY-6406|,AJ132668,Q9X9I8,,,|TAX-630|
|RXN-1981|,pchB,|PWY-6406|,,Q51507,,,|TAX-287|
|4.2.99.19-RXN|,xecA,|PWY-5534|,X79863,Q56837,,,|TAX-78245|
|RXN-8927|,CS,|PWY-5710|,AY819029,Q58VS8,,,|TAX-4072|
|TOLUENE-4-MONOOXYGENASE-RXN|,tmoF,|TOLUENE-DEG-4-OH-PWY|,M65106,Q03304,,,|ORG-5936|
|TOLUENE-4-MONOOXYGENASE-RXN|,tmoC,|TOLUENE-DEG-4-OH-PWY|,M65106,Q00458,,,|ORG-5936|
|TOLUENE-4-MONOOXYGENASE-RXN|,tmoD,|TOLUENE-DEG-4-OH-PWY|,M65106,Q00459,,,|ORG-5936|
|TOLUENE-4-MONOOXYGENASE-RXN|,tmoE,|TOLUENE-DEG-4-OH-PWY|,M65106,Q00460,,,|ORG-5936|
|TOLUENE-4-MONOOXYGENASE-RXN|,tmoB,|TOLUENE-DEG-4-OH-PWY|,M65106,Q00457,,,|ORG-5936|
|TOLUENE-4-MONOOXYGENASE-RXN|,tmoA,|TOLUENE-DEG-4-OH-PWY|,M65106,Q00456,,,|ORG-5936|
|TOLUENE-4-MONOOXYGENASE-RXN|,tbuB,|TOLUENE-DEG-3-OH-PWY|,,Q6QHC2,,,|TAX-329|
|TOLUENE-4-MONOOXYGENASE-RXN|,tbuV,|TOLUENE-DEG-3-OH-PWY|,,Q51942,,,|TAX-329|
|TOLUENE-4-MONOOXYGENASE-RXN|,tbuC,|TOLUENE-DEG-3-OH-PWY|,,Q6QHB9,,,|TAX-329|
|TOLUENE-4-MONOOXYGENASE-RXN|,tbuA1,|TOLUENE-DEG-3-OH-PWY|,AY541701,Q51939,,,|TAX-329|
|TOLUENE-4-MONOOXYGENASE-RXN|,tbuA2,|TOLUENE-DEG-3-OH-PWY|,AY541701,Q51943,,,|TAX-329|
|TOLUENE-4-MONOOXYGENASE-RXN|,tbuU,|TOLUENE-DEG-3-OH-PWY|,AY541701,Q51940,,,|TAX-329|
|R422-RXN|,camE25-1,|P601-PWY|;|P481-PWY|,AY450285,Q6STM1,,,|ORG-5941|
|R422-RXN|,camE25-2,|P601-PWY|;|P481-PWY|,AB771747,Q6STM1,,,|ORG-5941|
|RXN-12119|,B4GALT6,|PWY-7836|;|PWY-7838|;|PWY-7839|;|PWY-7841|,,Q9UBX8,,,|TAX-9606|
|RXN-17434|,bchV,|PWY-7759|,,Q8KBL0,,,|TAX-194439|
|RXN-17434|,bchV,|PWY-7758|,,A4SD33,,,|TAX-290318|
|RXN-17434|,bchV,|PWY-7760|,AB762294,N0DLZ6,,,|TAX-274537|
|6.1.1.13-RXN|,dltD,|PWY-7817|;|PWY-7816|,,Q2FZW3,,,|TAX-1280|
|RXN-19712|,CYP72A63,,AB558146,H1A981,,,|TAX-3880|
|RXN-8820|,dntAc,|PWY-5642|,U62430,Q45695,,,|TAX-233098|
|RXN-8820|,dntAd,|PWY-5642|,AY524771,Q6QUY3,,,|TAX-233098|
|RXN-8820|,dntAb,|PWY-5642|,AY524770,Q6QUY4,,,|TAX-233098|
|RXN-8820|,dntAa,|PWY-5642|,AY936476,Q5BM20,,,|TAX-233098|
|RXN-19813|,fakA,,,Q2FZ58,,|GO:0016310|;|GO:0006071|;|GO:0004371|,|TAX-1280|
|RXN-19813|,fakB2,,,Q2FYK7,,|GO:0008289|,|TAX-1280|
|SULFITE-REDUCT-RXN|,MET5,|SO4ASSIM-PWY|,,,,,|TAX-4932|
|SULFITE-REDUCT-RXN|,MET10,|SO4ASSIM-PWY|,,P39692,,,|TAX-4932|
|SULFITE-REDUCT-RXN|,cysI,|SO4ASSIM-PWY|,,P17846,,|GO:0000097|;|GO:0000103|;|GO:0050311|;|GO:0016002|;|GO:0051536|;|GO:0050661|;|GO:0046872|;|GO:0070814|;|GO:0055114|;|GO:0019344|;|GO:0016491|;|GO:0008652|;|GO:0005515|;|GO:0051539|;|GO:0020037|;|GO:0009337|;|GO:0004783|,|TAX-511145|
|SULFITE-REDUCT-RXN|,cysJ,|SO4ASSIM-PWY|,,P38038,|CCO-CYTOSOL|,|GO:0005829|;|GO:0000103|;|GO:0070401|;|GO:0016491|;|GO:0070814|;|GO:0055114|;|GO:0019344|;|GO:0008652|;|GO:0005515|;|GO:0004783|;|GO:0042602|;|GO:0009337|;|GO:0050660|;|GO:0010181|,|TAX-511145|
|TOLUENE-SIDE-CHAIN-MONOOXYGENASE-RXN|,xylM,|TOLUENE-DEG-CATECHOL-PWY|;|PWY-5428|;|PWY-5429|;|PWY-6104|,,P21395,|CCO-MEMBRANE|,|GO:0016020|,|ORG-5948|
|TOLUENE-SIDE-CHAIN-MONOOXYGENASE-RXN|,ntnM,|P421-PWY|;|TOLUENE-DEG-CATECHOL-PWY|,AF043544,O52643,,,|ORG-5960|
|1.14.11.1-RXN|,Bbox1,|PWY-6100|,,Q9QZU7,,,|TAX-10116|
|1.14.11.1-RXN|,BBOX1,|PWY-6100|,AF082868,O75936,,|GO:0045329|;|GO:0016702|;|GO:0008336|,|TAX-9606|
|RXN-14547|,novL,|PWY-7287|,AF170880,Q9L9F6,,,|TAX-65497|
|RXN-17043|,Tri1,|PWY-7713|;|PWY-7712|,,Q7Z886,,,|TAX-5518|
|RXN-20933|,apnO,|PWY-8091|,,Q6D8V3,,,|TAX-218491|
|RXN-20933|,apnO,|PWY-8092|,,F8GV06,,,|TAX-1042878|
|RXN-20933|,apnO,|PWY-8090|,,B9JK75,,,|TAX-311403|
|RXN-16939|,85K11,|PWY-7697|,AB847092,W6JQJ7,,,|TAX-4442|
|RXN-11638|,rsmH,,,P60390,|CCO-CYTOSOL|,|GO:0032259|;|GO:0016740|;|GO:0008168|;|GO:0006364|;|GO:0005829|;|GO:0042803|;|GO:0071424|;|GO:0070475|;|GO:0005737|,|TAX-511145|
|RXN-20783|,Bx13,|PWY-8076|,,B6TBU1,,|GO:0016491|,|TAX-4577|
|PEPDEPHOS-RXN|,pyk,|PWY-8004|;|ANAGLYCOLYSIS-PWY|,,Q9WY51,,,|TAX-2336|
|PEPDEPHOS-RXN|,pyk,|NPGLUCAT-PWY|;|PWY-2221|,AF065890,,,,|TAX-2271|
|PEPDEPHOS-RXN|,PF1188,|P341-PWY|,AE010227,,,,|TAX-2261|
|PEPDEPHOS-RXN|,pyk,|ANAEROFRUCAT-PWY|,L07920,Q07637,,,|TAX-1358|
|PEPDEPHOS-RXN|,pykF,|P461-PWY|;|P441-PWY|,,,,,|TAX-1305|
|PEPDEPHOS-RXN|,PKLR,|ANAGLYCOLYSIS-PWY|,AB015983,P30613,,|GO:0005575|;|GO:0016740|;|GO:0006096|;|GO:0000287|;|GO:0006633|;|GO:0004743|,|TAX-9606|
|PEPDEPHOS-RXN|,PKM2,|ANAGLYCOLYSIS-PWY|,X56494,P14618,|CCO-CYTOSOL|,|GO:0016740|;|GO:0005575|;|GO:0006096|;|GO:0005829|;|GO:0004743|;|GO:0000287|,|TAX-9606|
|PEPDEPHOS-RXN|,pyk,|PWY-6886|,,Q31S39,,,|TAX-1140|
|PEPDEPHOS-RXN|,pykF,|FERMENTATION-PWY|;|PWY-7218|;|PWY-8004|;|PWY-5484|;|GLYCOLYSIS|,,P0AD61,|CCO-CYTOSOL|,|GO:0005737|;|GO:0030955|;|GO:0000287|;|GO:0003824|;|GO:0016310|;|GO:0008152|;|GO:0005524|;|GO:0000166|;|GO:0046872|;|GO:0016740|;|GO:0016301|;|GO:1902912|;|GO:0005515|;|GO:0042802|;|GO:0009408|;|GO:0005829|;|GO:0004743|;|GO:0006096|,|TAX-511145|
|PEPDEPHOS-RXN|,pykA,|FERMENTATION-PWY|;|PWY-7218|;|PWY-8004|;|PWY-5484|;|GLYCOLYSIS|,,P21599,|CCO-CYTOSOL|,|GO:0005737|;|GO:0005515|;|GO:0030955|;|GO:0000287|;|GO:0003824|;|GO:0016310|;|GO:0008152|;|GO:0005524|;|GO:0000166|;|GO:0046872|;|GO:0016740|;|GO:0016301|;|GO:1902912|;|GO:0016208|;|GO:0042802|;|GO:0005829|;|GO:0004743|;|GO:0006096|,|TAX-511145|
|RXN66-358|,CYP21A2,|PWY66-382|;|PWY66-381|,AF019413,P08686,|CCO-MEMBRANE|;|CCO-ER|,|GO:0016491|;|GO:0016020|;|GO:0008395|;|GO:0006700|;|GO:0005783|;|GO:0005496|;|GO:0004509|;|GO:0004497|,|TAX-9606|
|RXN-11543|,carC,|PWY-6550|,,Q9AQM4,,,|TAX-135214|
|RXN-16513|,VEP1,,EF579963,Q9STX2,,,|ORG-5993|
|RXN-18908|,ROT2,|PWY-7918|,Z36098,P38138,|CCO-ER|;|CCO-ER-LUM|,|GO:0070880|;|GO:0033919|;|GO:0030246|;|GO:0017177|;|GO:0016798|;|GO:0016787|;|GO:0008152|;|GO:0006491|;|GO:0005975|;|GO:0005788|;|GO:0005783|;|GO:0005515|;|GO:0004553|;|GO:0003824|,|TAX-4932|
|RXN-18908|,GTB1,|PWY-7918|,398366171,Q04924,|CCO-ER|;|CCO-ER-LUM|,|GO:0017177|;|GO:0006491|;|GO:0005788|;|GO:0005783|;|GO:0005515|;|GO:0000271|,|TAX-4932|
|RXN-18908|,GANAB,|PWY-7919|,AF144074,Q14697,|CCO-EXTRACELLULAR|;|CCO-CYTOPLASM|;|CCO-ER|;|CCO-MEMBRANE|;|CCO-GOLGI|,|GO:0070062|;|GO:0042470|;|GO:0033919|;|GO:0031012|;|GO:0030246|;|GO:0017177|;|GO:0016798|;|GO:0016787|;|GO:0016020|;|GO:0008152|;|GO:0005794|;|GO:0005783|;|GO:0003824|;|GO:0003723|;|GO:0005975|;|GO:0004553|,|TAX-9606|
|RXN-18908|,PRKCSH,|PWY-7919|,U50326,P14314,|CCO-ER|,|GO:0051219|;|GO:0046872|;|GO:0044325|;|GO:0006491|;|GO:0005783|;|GO:0005080|;|GO:0005622|;|GO:0003674|;|GO:0016301|;|GO:0005509|;|GO:0035556|,|TAX-9606|
|NOCARDICIN-A-EPIMERASE-RXN|,nocJ,|PWY-7797|,AY541063,Q5J1R2,,,|TAX-96045|
|RXN-13629|,spnG,|PWY-7100|,AY007564,Q9ALM8,,,|TAX-60894|
|RXN-16047|,FAD6,|PWY-7590|;|PWY-5995|,X78311,P48629,|CCO-PLASTID-MEM|,|GO:0042170|,|TAX-3562|
|RXN-13109|,ndmB,|PWY-6999|;|PWY-6538|,JQ061128,H9N290,,,|ORG-6144|
|RXN-13109|,ndmD,|PWY-6999|;|PWY-6538|;|PWY-5523|,JQ061130,H9N291,,,|ORG-6144|
|RXN66-13|,CYP51A1,|PWY66-341|;|PWY-6074|;|PWY66-3|,U23942,Q16850,|CCO-ER|,|GO:0005783|,|TAX-9606|
|RXN-11296|,femA,|PWY-6459|,X17688,P0A0A5,,,|TAX-1280|
|RXN-MG-PROTOPORPHYRIN-METHYLESTER-SYN|,CHLM,|CHLOROPHYLL-SYN|,,Q9SW18,|CCO-THY-MEM|;|CCO-CHLOR-MEM|,|GO:0042651|;|GO:0031969|,|ORG-5993|
|RXN-MG-PROTOPORPHYRIN-METHYLESTER-SYN|,bchM,|PWY-5531|,X81413,Q59780,,,|TAX-1063|
|RXN-MG-PROTOPORPHYRIN-METHYLESTER-SYN|,CHLM,|CHLOROPHYLL-SYN|,,A8JGJ6,|CCO-CHLOROPLAST|,|GO:0009507|,|TAX-3055|
|RXN-16413|,cbfd1,|PWY-7636|;|PWY-5291|,AY644757,Q5IT33,,,|TAX-151078|
|RXN-16413|,cbfd2,|PWY-7636|,AY644758,Q5IT32,,,|TAX-151078|
|CDPKIN-RXN|,NME2,|PWY-7176|;|PWY-7221|;|PWY-7205|;|PWY-7226|;|PWY-7224|;|PWY-7227|;|PWY-7184|;|PWY-7197|;|PWY-7210|,,P22392,,,|TAX-9606|
|CDPKIN-RXN|,NME1,|PWY-7176|;|PWY-7221|;|PWY-7205|;|PWY-7226|;|PWY-7224|;|PWY-7227|;|PWY-7184|;|PWY-7197|;|PWY-7210|,,P15531,,,|TAX-9606|
|CDPKIN-RXN|,NDPK1,|PWY-7226|;|PWY-7224|;|PWY-7227|;|PWY-7205|;|PWY-7176|;|PWY-7184|;|PWY-7197|;|PWY-7221|,AF017641,P39207,,,|ORG-5993|
|CDPKIN-RXN|,YNK1,|PWY-841|;|PWY-7226|;|PWY-7229|;|PWY-7205|;|PWY-7176|;|PWY-7184|;|PWY-7197|;|PWY-7210|;|PWY-7221|,Z28067,P36010,,,|TAX-4932|
|CDPKIN-RXN|,adk,|PWY-7219|;|PWY-7176|;|PWY-7205|;|PPGPPMET-PWY|;|PWY-7221|;|PWY-7224|;|PWY-7222|;|PWY-7226|;|PWY-7187|;|PWY0-166|;|PWY-7184|;|PWY-7197|,,P69441,|CCO-CYTOSOL|,|GO:0009132|;|GO:0009123|;|GO:0006163|;|GO:0046940|;|GO:0006165|;|GO:0019205|;|GO:0016776|;|GO:0016740|;|GO:0016301|;|GO:0009165|;|GO:0006139|;|GO:0005737|;|GO:0000166|;|GO:0044209|;|GO:0006172|;|GO:0016310|;|GO:0004550|;|GO:0005829|;|GO:0000287|;|GO:0016208|;|GO:0015951|;|GO:0005524|;|GO:0005515|;|GO:0004017|,|TAX-511145|
|CDPKIN-RXN|,ndk,|PWY-7176|;|PWY-7205|;|PWY-7187|;|PWY0-166|;|PWY-7184|;|PWY-7197|;|PWY-7227|;|PWY-7220|;|PWY-7224|;|PWY-7222|;|PWY-7226|;|PPGPPMET-PWY|;|PWY-7221|,,P0A763,|CCO-CYTOSOL|,|GO:0006220|;|GO:0006163|;|GO:0016740|;|GO:0016301|;|GO:0016310|;|GO:0009117|;|GO:0006241|;|GO:0006228|;|GO:0006183|;|GO:0006165|;|GO:0046872|;|GO:0005737|;|GO:0005524|;|GO:0000166|;|GO:0005829|;|GO:0042802|;|GO:0005515|;|GO:0004550|,|TAX-511145|
|RXN-18011|,astC,|PWY-8040|,KF813023,A0A023J9T3,,,|TAX-1245512|
|RXN-18011|,dltA,|PWY-7815|,,E0TWR6,,,|TAX-655816|
|RXN-18011|,dltA,|TEICHOICACID-PWY|,,P39581,|CCO-CYTOSOL|,|GO:0070395|;|GO:0019350|;|GO:0047473|;|GO:0016874|;|GO:0016208|;|GO:0008152|;|GO:0005737|;|GO:0005524|;|GO:0003824|;|GO:0000166|,|TAX-224308|
|RXN-18011|,dltA,|PWY-7816|;|PWY-7817|,,Q2FZW6,,,|TAX-1280|
|RXN-18011|,dltA,|PWY-7818|,,P0A399,,,|TAX-1313|
|RXN-7785|,ans,|PWY-5153|,AY123768,,,,|TAX-180763|
|RXN0-6734|,phnJ,|PWY-7805|;|PWY0-1533|,,P16688,|CCO-CYTOSOL|,|GO:0051536|;|GO:0046872|;|GO:1904176|;|GO:0098848|;|GO:0005515|;|GO:0005829|;|GO:0016829|;|GO:0051539|;|GO:0019700|,|TAX-511145|
|RXN-12618|,GGT1,|PWY-7112|;|PWY-4061|;|PWY-4041|,AC000051,P19440,|CCO-MEMBRANE|,|GO:0016740|;|GO:0016021|;|GO:0016746|;|GO:0006750|;|GO:0006520|;|GO:0003674|;|GO:0008150|,|TAX-9606|
|RXN-12618|,DUG2,|PWY-7559|,398365863,P38149,,,|TAX-4932|
|RXN-12618|,DUG3,|PWY-7559|,1730817,P53871,|CCO-CYTOSOL|,|GO:0005829|,|TAX-4932|
|RXN-12618|,GGT4,|PWYQT-4473|;|PWY-1187|;|PWYQT-4474|;|PWYQT-4471|;|PWYQT-4475|;|PWYQT-4472|;|CAMALEXIN-SYN|;|PWY-2821|;|PWY-601|;|PWY-6842|,,Q9M0G0,|CCO-VACUOLE|,|GO:0005773|,|ORG-5993|
|RXN-12618|,GGT5,|PWY-7112|;|PWY-4061|;|PWY-4041|;|PWY66-375|,AL117414,,,,|TAX-9606|;|TAX-9606|;|TAX-9606|
|RXN-12618|,ECM38,|PWY-7559|;|PWY-6842|,U17243,Q05902,|CCO-VAC-MEM|;|CCO-STORAGE-VAC|,|GO:0102953|;|GO:0036374|;|GO:0016787|;|GO:0016746|;|GO:0016740|;|GO:0016021|;|GO:0016020|;|GO:0008233|;|GO:0006805|;|GO:0006751|;|GO:0006749|;|GO:0006508|;|GO:0005774|;|GO:0005773|;|GO:0000324|,|TAX-4932|
|RXN-12618|,ggt,,,,,,|TAX-511145|;|TAX-511145|;|TAX-511145|
|RXN-15024|,rauA,|PWY-7405|,AB694012,S6BVH1,,,|ORG-6248|
|RXN-21471|,SDENCHOL_10299,|PWY-8151|,,,,,|TAX-157592|
|RXN-13514|,UGT74G1,|PWY-7071|,AY345982,Q6VAA6,,,|TAX-55670|
|RXN-10852|,tetH,|PWY-6327|,AB259312,B7J3C9,,,|TAX-920|
|6.3.2.30-RXN|,CphA,|PWY-7052|,,B9A0M2,,,|TAX-197221|
|6.3.2.30-RXN|,cphA,|PWY-7052|,AF220099,P56947,,,|TAX-113355|
|DSERDEAM-RXN|,dsdA,|PWY0-1535|,,P00926,|CCO-CYTOSOL|,|GO:0006567|;|GO:0006565|;|GO:0004794|;|GO:0003941|;|GO:0070178|;|GO:0046416|;|GO:0016829|;|GO:0006520|;|GO:0006974|;|GO:0016836|;|GO:0005737|;|GO:0005829|;|GO:0036088|;|GO:0051410|;|GO:0030170|;|GO:0008721|,|TAX-511145|
|DSERDEAM-RXN|,chDSD,|PWY0-1535|,AB284370,A9CP13,,,|TAX-9031|
|DSERDEAM-RXN|,sr,|PWY-6196|;|PWY-8140|,AB206823,Q2PGG3,,,|ORG-5993|
|DSERDEAM-RXN|,sr,|PWY-6196|;|PWY-8140|,,A5HUN0,,,|TAX-4513|
|DSERDEAM-RXN|,SerR,|PWY-6196|;|PWY-8140|,,,,,|TAX-4530|
|RXN-14572|,gnu,,,Q8X7P7,,,|TAX-83334|
|RXN-14572|,gnu,|PWY-7290|,AY667408,Q4KXC7,,,|ORG-6228|
|RXN-11186|,hpxO,|PWY-7394|,EU653284,B6D1N4,,,|TAX-573|
