MNX_ID	Balance	EC	Source	kegg
MNXR108169	ambiguous	2.3.1.67	rxn02462	R03437
MNXR108171	true	1.14.99.2	rxn02463	R03439
MNXR108172	true	1.14.99.2	rxn02464	R03440
MNXR108176	true	3.2.2.24	rxn06381	
MNXR108177	true	2.4.2.37	rxn06382	R03447
MNXR108179	true	2.7.11.2	rxn06383	R03449
MNXR108180	true	3.1.3.43	rxn06384	R03450
MNXR108183	true	3.1.3.59	rxn06385	R03454
MNXR108184	true	2.3.1.105	rxn06386	R03455
MNXR108187	true	1.13.11.39	rxn02478	R03462
MNXR108188	true	1.3.1.40	rxn02479	R03463
MNXR108189	true	3.5.4.27	rxn02480	R03464
MNXR108194	true	2.4.1.92	rxn02494	R03490
MNXR108252	true	1.14.13.-;1.14.13.7	rxn02540	R03560
MNXR108253	true	1.14.13.-;1.14.13.7	rxn02541	R03562
MNXR108255	true		rxn02543	R03564
MNXR108257	true	1.14.13.7	rxn02545	R03566
MNXR108259	true	1.14.13.7	rxn11985	R03568
MNXR108260	NA	3.6.1.21	rxn06414	R03570
MNXR108264	true	2.4.1.81	rxn02551	R03574
MNXR108277	true	1.14.11.22	rxn02564	R03590
MNXR108282	true	1.8.1.9	rxn11571	R03596
MNXR108285	ambiguous		rxn02572	R03602
MNXR108286	ambiguous		rxn02573	R03603
MNXR108287	true	3.2.1.126	rxn02574	R03604
MNXR108288	true	2.4.1.111	rxn02575	R03605
MNXR108290	true	1.14.13.-;1.14.13.7	rxn02577	R03608
MNXR108291	false	2.3.2.9	rxn06423	R03609
MNXR108308	true	1.13.11.52	rxn02592	R03628
MNXR108309	NA	1.14.14.1	rxn06427	R03629
MNXR108312	NA	2.7.11.1	rxn06428	R03632
MNXR108314	true	3.2.1.26	rxn02597	R03635
MNXR108315	true	1.1.1.219	rxn02598	R03636
MNXR108318	true	1.14.13;1.14.13.88	rxn02601	R03639
MNXR108319	true	1.14.11.9	rxn02602	R03640
MNXR108322	NA	1.6.5.2	rxn06429	R03643
MNXR108324	ambiguous		rxn02605	R03666
MNXR108328	true		rxn02609	R03672
MNXR108330	true	1.14.18.1	rxn02611	R03674
MNXR108332	true		rxn11990	R03677
MNXR108333	NA	1.3.7.4	rxn11991	R03678
MNXR108336	true	2.4.1.186	rxn06453	R03681
MNXR108337	NA		rxn06454	R03682
MNXR108344	true	2.7.3.5	rxn02620	R03691
MNXR108347	true		rxn02623	R03694
MNXR108348	true		rxn02624	R03695
MNXR108350	NA	1.14.14.1	rxn11992	R03697
MNXR108354	true	2.1.1.67	rxn02629	R03701
MNXR108357	NA	2.1.1.74	rxn06459	R03704
MNXR108360	true	3.1.1.25	rxn06461	R03708
MNXR108363	NA	3.1.1.39	rxn06462	R03711
MNXR108372	true	1.3.3.8	rxn02642	R03722
MNXR108375	true		rxn06465	R03725
MNXR108388	ambiguous		rxn02657	R03740
MNXR108390	NA	3.5.2.6	rxn06469	R03743
MNXR108391	NA	2.7.11.26	rxn06470	R03744
MNXR108396	true	2.3.2.4	rxn06472	R03749
MNXR108397	true	3.1.1;3.1.1.17;3.1.1.83	rxn02663	R03751
MNXR108398	NA	1.1.1.201	rxn02665	R03753
MNXR108399	NA	2.7.1.94	rxn06473	R03754
MNXR108401	ambiguous	2.3.1.22	rxn06475	R03756
MNXR108425	NA	2.4.2.29	rxn06485	R03789
MNXR108428	true	1.1.1.-	rxn02689	R03792
MNXR108432	ambiguous	2.4.1.115	rxn06487	R03797
MNXR108433	ambiguous		rxn02692	R03798
